# Rank (– (overall ligand ranking)), Ligand (Ligand identifier), Vina-Bind_Score (Vina-Bind_Score), pose_centroid_x (Å (X-coords of ligand centroid)), pose_centroid_y (Å (Y-coords of ligand centroid)), pose_centroid_z (Å (Z-coords of ligand centroid)), boltz_affinity (boltz_affinity), boltz_confidence (0–1 (higher = more confident ML docking pose)), pocket_alignment_Score (0–0.5 (higher = better pocket alignment via MaSIF)), SMILES (Canonical SMILES string), MolWt (g/mol), LogP (log10 (P_octanol/water)), TPSA (Å² (topological polar surface area)), RotatableBonds (count), HBD (hydrogen bond donors), HBA (hydrogen bond acceptors), AromaticRings (count), FractionCSP3 (0–1 (sp³ C saturation)), QED (0–1 (drug-likeness)), HeavyAtomCount (count), HeteroAtomCount (count), RingCount (count), AliphaticRings (count), MR (cm³/mol (molar refractivity)), SA_Score (1–10 (synthetic accessibility; lower = easier synthesis)), FormalCharge (integer charge), ESOL_LogS (predicted log10(solubility [mol/L])), Lipinski_OK (Lipinski rule of five), Veber_OK (TPSA/rotatable-bond rule), Egan_OK (Egan absorption rule), BBB_rule (blood–brain barrier permeability), vina_rank (ascending rank (lower = better)), boltz_rank (descending rank (higher = better))
Rank,Ligand,Vina-Bind_Score,pose_centroid_x,pose_centroid_y,pose_centroid_z,boltz_affinity,boltz_confidence,pocket_alignment_Score,SMILES,MolWt,LogP,TPSA,RotatableBonds,HBD,HBA,AromaticRings,FractionCSP3,QED,HeavyAtomCount,HeteroAtomCount,RingCount,AliphaticRings,MR,SA_Score,FormalCharge,ESOL_LogS,Lipinski_OK,Veber_OK,Egan_OK,BBB_rule,vina_rank,boltz_rank
11,phenoxy_benzamidine,-7.24,4.22,16.93,19.36,0.81,0.77,0.04,NC(=N)c1ccc(OC2=CC=CC=C2)cc1,212.25,2.76,59.1,3.0,2.0,2.0,2.0,0.0,0.61,16.0,3.0,2.0,0.0,63.97,4.23,0.0,-1.58,True,True,True,True,11.0,118.0
12,bis_trifluoromethyl_benzamidine,-7.1,3.44,16.52,18.05,0.96,0.94,0.0,NC(=N)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,256.15,3.01,49.87,1.0,2.0,1.0,1.0,0.22,0.45,17.0,8.0,1.0,0.0,47.46,4.28,0.0,-2.02,True,True,True,True,12.0,2.0
13,cyclohexoxy_benzamidine,-7.06,3.28,16.73,19.95,0.98,0.92,0.06,NC(=N)c1ccc(OC2CCCCC2)cc1,218.3,2.68,59.1,3.0,2.0,2.0,1.0,0.46,0.6,16.0,3.0,2.0,1.0,64.96,4.37,0.0,-1.64,True,True,True,True,13.0,47.0
14,cyclohexylmethyl_benzamidine,-7.04,4.2,16.87,19.39,0.98,0.92,0.04,NC(=N)c1ccc(CC2CCCCC2)cc1,216.33,3.09,49.87,3.0,2.0,1.0,1.0,0.5,0.59,16.0,2.0,2.0,1.0,67.74,4.37,0.0,-1.62,True,True,True,True,13.0,51.0
15,triflate_benzamidine,-6.94,4.15,16.71,19.48,0.96,0.93,0.04,NC(=N)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,268.22,1.2,93.24,3.0,2.0,4.0,1.0,0.12,0.37,17.0,9.0,1.0,0.0,53.06,4.47,0.0,-2.14,True,True,True,False,15.0,13.0
16,cyclopentyl_benzamidine,-6.98,4.93,16.85,21.29,0.97,0.92,0.08,NC(=N)c1ccc(C2CCCC2)cc1,188.27,2.63,49.87,2.0,2.0,1.0,1.0,0.42,0.54,14.0,2.0,2.0,1.0,58.67,4.01,0.0,-1.34,True,True,True,True,15.0,52.0
17,biphenyl_benzamidine,-7.01,2.54,16.41,22.25,0.97,0.91,0.11,NC(=N)c1ccc(c2ccccc2)cc1,196.25,2.64,49.87,2.0,2.0,1.0,2.0,0.0,0.56,15.0,2.0,2.0,0.0,62.89,4.03,0.0,-1.42,True,True,True,True,15.0,56.0
18,acetamidomethyl_benzamidine,-6.88,0.99,16.1,20.94,0.98,0.92,0.08,NC(=N)c1ccc(CNC(=O)C)cc1,191.23,0.61,78.97,3.0,3.0,2.0,1.0,0.2,0.48,14.0,4.0,1.0,0.0,54.98,4.04,0.0,-1.37,True,True,True,True,18.0,40.0
19,cyclohexyl_benzamidine,-6.89,1.68,16.3,21.47,0.84,0.82,0.09,NC(=N)c1ccc(C2CCCCC2)cc1,202.3,3.02,49.87,2.0,2.0,1.0,1.0,0.46,0.56,15.0,2.0,2.0,1.0,63.28,4.17,0.0,-1.48,True,True,True,True,18.0,106.0
20,pyrazolyl_benzamidine,-6.75,2.28,16.5,19.7,0.97,0.93,0.05,NC(=N)c1ccc(-c2n[nH]cc2)cc1,186.22,1.36,78.55,2.0,3.0,2.0,2.0,0.0,0.49,14.0,4.0,2.0,0.0,55.04,4.03,0.0,-1.32,True,True,True,True,20.0,23.0
21,phenyl_benzamidine,-6.76,0.78,15.77,20.77,0.97,0.91,0.06,NC(=N)c1ccc(c2ccccc2)cc1,196.25,2.64,49.87,2.0,2.0,1.0,2.0,0.0,0.56,15.0,2.0,2.0,0.0,62.89,4.03,0.0,-1.42,True,True,True,True,20.0,62.0
22,pyridyl4_benzamidine,-6.81,2.83,16.59,21.86,0.97,0.91,0.11,NC(=N)c1ccc(-c2ccncc2)cc1,197.24,2.03,62.76,2.0,2.0,2.0,2.0,0.0,0.57,15.0,3.0,2.0,0.0,60.69,4.08,0.0,-1.43,True,True,True,True,20.0,64.0
23,carboxamide_benzamidine,-6.76,3.9,16.39,26.66,0.98,0.92,0.16,NC(=N)c1ccc(C(=O)N)cc1,163.18,0.07,92.96,2.0,3.0,2.0,1.0,0.0,0.42,12.0,4.0,1.0,0.0,45.98,3.56,0.0,-1.09,True,True,True,False,23.0,39.0
24,phosphonate3_benzamidine,-6.77,4.69,16.91,25.72,0.96,0.92,0.17,NC(=N)c1cc(C[P](=O)(O)O)ccc1,214.16,0.65,107.4,3.0,4.0,2.0,1.0,0.12,0.34,14.0,6.0,1.0,0.0,53.21,4.07,0.0,-1.6,True,True,True,False,23.0,40.0
25,pyridazinyl_benzamidine,-6.71,3.34,16.58,21.97,0.97,0.92,0.11,NC(=N)c1ccc(-c2cnncc2)cc1,198.23,1.43,75.65,2.0,2.0,3.0,2.0,0.0,0.57,15.0,4.0,2.0,0.0,58.48,4.16,0.0,-1.44,True,True,True,True,23.0,40.0
26,trifluoroacetyl_benzamidine,-6.66,2.62,15.52,21.39,0.91,0.9,0.06,NC(=N)c1ccc(C(=O)C(F)(F)F)cc1,216.16,1.72,66.94,2.0,2.0,2.0,1.0,0.11,0.45,15.0,6.0,1.0,0.0,47.84,4.07,0.0,-1.62,True,True,True,True,23.0,68.0
27,pyridyl3_benzamidine,-6.66,2.24,16.23,20.37,0.94,0.86,0.06,NC(=N)c1ccc(-c2cccnc2)cc1,197.24,2.03,62.76,2.0,2.0,2.0,2.0,0.0,0.57,15.0,3.0,2.0,0.0,60.69,4.16,0.0,-1.43,True,True,True,True,23.0,85.0
28,pyridyl2_benzamidine,-6.72,1.66,16.43,22.29,0.95,0.85,0.12,NC(=N)c1cccc(-c2ccccn2)c1,197.24,2.03,62.76,2.0,2.0,2.0,2.0,0.0,0.57,15.0,3.0,2.0,0.0,60.69,4.22,0.0,-1.43,True,True,True,True,23.0,94.0
29,naphthyl1_benzamidine,-6.61,3.97,15.47,24.44,0.98,0.94,0.11,NC(=N)c1cccc2ccccc12,170.21,2.12,49.87,1.0,2.0,1.0,2.0,0.0,0.5,13.0,2.0,2.0,0.0,54.96,3.79,0.0,-1.16,True,True,True,True,29.0,1.0
30,phosphate_benzamidine,-6.56,1.82,16.41,19.82,0.96,0.92,0.06,NC(=N)c1ccc(OP(=O)(O)O)cc1,216.13,0.44,116.63,3.0,4.0,3.0,1.0,0.0,0.33,14.0,7.0,1.0,0.0,50.13,3.99,0.0,-1.62,True,True,True,False,29.0,40.0
31,pyrimidyl_benzamidine,-6.56,1.91,16.33,19.92,0.95,0.89,0.06,NC(=N)c1ccc(-c2nccnc2)cc1,198.23,1.43,75.65,2.0,2.0,3.0,2.0,0.0,0.57,15.0,4.0,2.0,0.0,58.48,4.2,0.0,-1.44,True,True,True,True,29.0,70.0
32,pyrazinyl_benzamidine,-6.56,1.99,16.41,20.03,0.93,0.88,0.06,NC(=N)c1ccc(-c2ncccn2)cc1,198.23,1.43,75.65,2.0,2.0,3.0,2.0,0.0,0.57,15.0,4.0,2.0,0.0,58.48,4.16,0.0,-1.44,True,True,True,True,29.0,79.0
33,imidazolyl_benzamidine,-6.63,3.61,16.06,24.02,0.96,0.84,0.13,NC(=N)c1ccc(-c2ncc[nH]2)cc1,186.22,1.36,78.55,2.0,3.0,2.0,2.0,0.0,0.49,14.0,4.0,2.0,0.0,55.04,4.05,0.0,-1.32,True,True,True,True,29.0,97.0
34,trifluoromethyl_benzamidine,-6.58,5.07,17.78,25.16,0.97,0.94,0.18,NC(=N)c1ccc(C(F)(F)F)cc1,188.15,1.99,49.87,1.0,2.0,1.0,1.0,0.12,0.51,13.0,5.0,1.0,0.0,42.46,3.75,0.0,-1.34,True,True,True,True,34.0,5.0
35,oxazolyl_benzamidine,-6.53,2.97,15.45,26.18,0.97,0.93,0.13,NC(=N)c1ccc(-c2ocnc2)cc1,187.2,1.63,75.9,2.0,2.0,3.0,2.0,0.0,0.55,14.0,4.0,2.0,0.0,52.96,4.05,0.0,-1.33,True,True,True,True,34.0,31.0
36,cyclobutyl_benzamidine,-6.44,2.64,16.1,19.86,0.97,0.92,0.04,NC(=N)c1ccc(C2CCC2)cc1,174.25,2.24,49.87,2.0,2.0,1.0,1.0,0.36,0.52,13.0,2.0,2.0,1.0,54.05,3.84,0.0,-1.2,True,True,True,True,34.0,40.0
37,naphthyl2_benzamidine,-6.42,1.48,15.99,19.1,0.9,0.89,0.02,NC(=N)c1ccc2ccccc2c1,170.21,2.12,49.87,1.0,2.0,1.0,2.0,0.0,0.5,13.0,2.0,2.0,0.0,54.96,3.79,0.0,-1.16,True,True,True,True,34.0,72.0
38,carboxy_benzamidine,-6.58,2.92,16.82,25.87,0.96,0.87,0.18,NC(=N)c1ccc(C(=O)O)cc1,164.16,0.67,87.17,2.0,3.0,2.0,1.0,0.0,0.44,12.0,4.0,1.0,0.0,44.42,3.59,0.0,-1.1,True,True,True,True,34.0,82.0
39,azido_benzamidine,-6.51,1.48,15.08,24.73,0.94,0.84,0.11,NC(=N)c1ccc(N=[N+]=N)cc1,162.18,1.15,100.18,2.0,3.0,3.0,1.0,0.0,0.26,12.0,5.0,1.0,0.0,44.4,3.67,1.0,-1.08,True,True,True,False,34.0,96.0
40,aminosulfonylmethyl_benzamidine,-6.53,3.67,16.04,24.3,0.91,0.81,0.13,NC(=N)c1ccc(CS(=O)(=O)N)cc1,213.26,-0.24,110.03,3.0,3.0,3.0,1.0,0.12,0.48,14.0,6.0,1.0,0.0,54.27,3.98,0.0,-1.59,True,True,True,False,34.0,110.0
41,thiazolyl_benzamidine,-6.4,1.7,15.55,22.66,0.97,0.93,0.1,NC(=N)c1ccc(-c2ncsc2)cc1,203.27,2.09,62.76,2.0,2.0,3.0,2.0,0.0,0.58,14.0,4.0,2.0,0.0,58.57,4.05,0.0,-1.49,True,True,True,True,41.0,18.0
42,phosphonate4_benzamidine,-6.43,3.79,16.08,24.06,0.97,0.92,0.13,NC(=N)c1ccc(C[P](=O)(O)O)cc1,214.16,0.65,107.4,3.0,4.0,2.0,1.0,0.12,0.34,14.0,6.0,1.0,0.0,53.21,3.99,0.0,-1.6,True,True,True,False,41.0,50.0
43,furyl_benzamidine,-6.44,3.21,16.18,24.22,0.97,0.91,0.14,NC(=N)c1ccc(-c2occc2)cc1,186.21,2.23,63.01,2.0,2.0,2.0,2.0,0.0,0.56,14.0,3.0,2.0,0.0,55.16,4.0,0.0,-1.32,True,True,True,True,41.0,56.0
44,dimethylcarbamoyl_benzamidine,-6.37,1.89,16.11,20.67,0.94,0.89,0.07,NC(=N)c1ccc(C(=O)N(C)C)cc1,191.23,0.67,70.18,2.0,2.0,2.0,1.0,0.2,0.53,14.0,4.0,1.0,0.0,55.48,3.94,0.0,-1.37,True,True,True,True,41.0,72.0
45,isopropoxy_benzamidine,-6.44,2.27,15.82,24.91,0.86,0.89,0.14,NC(=N)c1ccc(OC(C)C)cc1,178.24,1.76,59.1,3.0,2.0,2.0,1.0,0.3,0.55,13.0,3.0,1.0,0.0,53.22,3.82,0.0,-1.24,True,True,True,True,41.0,75.0
46,secbutyl_benzamidine,-6.4,4.51,17.17,21.48,0.8,0.84,0.1,NC(=N)c1ccc(C(C)CC)cc1,176.26,2.48,49.87,3.0,2.0,1.0,1.0,0.36,0.54,13.0,2.0,1.0,0.0,56.16,3.84,0.0,-1.22,True,True,True,True,41.0,99.0
47,acryloyl_benzamidine,-6.32,4.3,16.75,18.7,0.89,0.81,0.02,NC(=N)c1ccc(C(=O)C=C)cc1,174.2,1.34,66.94,3.0,2.0,2.0,1.0,0.0,0.31,13.0,3.0,1.0,0.0,51.99,3.8,0.0,-1.2,True,True,True,True,41.0,109.0
48,isopropyl_benzamidine,-6.37,5.17,17.03,27.95,0.97,0.93,0.17,NC(=N)c1ccc(C(C)C)cc1,162.24,2.09,49.87,2.0,2.0,1.0,1.0,0.3,0.51,12.0,2.0,1.0,0.0,51.55,3.62,0.0,-1.08,True,True,True,True,48.0,13.0
49,propionyl_benzamidine,-6.33,1.65,16.03,23.69,0.97,0.93,0.13,NC(=N)c1ccc(C(=O)CC)cc1,176.22,1.56,66.94,3.0,2.0,2.0,1.0,0.2,0.42,13.0,3.0,1.0,0.0,52.08,3.8,0.0,-1.22,True,True,True,True,48.0,18.0
50,thienyl_benzamidine,-6.28,0.56,15.04,23.16,0.97,0.93,0.08,NC(=N)c1ccc(-c2ccsc2)cc1,202.28,2.7,49.87,2.0,2.0,2.0,2.0,0.0,0.57,14.0,3.0,2.0,0.0,60.77,3.99,0.0,-1.48,True,True,True,True,48.0,18.0
51,ethoxycarbonyl_benzamidine,-6.3,2.87,16.1,21.92,0.96,0.92,0.1,NC(=N)c1ccc(C(=O)OCC)cc1,192.22,1.15,76.17,3.0,2.0,3.0,1.0,0.2,0.43,14.0,4.0,1.0,0.0,53.41,4.0,0.0,-1.38,True,True,True,True,48.0,40.0
52,methoxy_hydroxy_benzamidine,-6.48,1.74,18.94,28.87,0.97,0.9,0.28,NC(=N)c1cc(OC)c(O)cc1,166.18,0.68,79.33,2.0,3.0,3.0,1.0,0.12,0.45,12.0,4.0,1.0,0.0,45.67,3.72,0.0,-1.12,True,True,True,True,48.0,66.0
53,carboxymethyl_benzamidine,-6.27,2.63,16.8,20.02,0.91,0.84,0.07,NC(=N)c1ccc(CC(=O)O)cc1,178.19,0.6,87.17,3.0,3.0,2.0,1.0,0.11,0.47,13.0,4.0,1.0,0.0,48.8,3.84,0.0,-1.24,True,True,True,True,48.0,95.0
54,trifluoromethoxy_benzamidine,-6.32,4.16,17.42,21.51,0.8,0.84,0.12,NC(=N)c1ccc(OC(F)(F)F)cc1,204.15,1.87,59.1,2.0,2.0,2.0,1.0,0.12,0.57,14.0,6.0,1.0,0.0,44.14,3.95,0.0,-1.5,True,True,True,True,48.0,99.0
55,fluoro_hydroxy_benzamidine,-6.48,3.56,19.43,27.16,0.96,0.83,0.28,NC(=N)c1cc(F)c(O)cc1,154.14,0.82,70.1,1.0,3.0,2.0,1.0,0.0,0.41,11.0,4.0,1.0,0.0,39.08,3.52,0.0,-1.0,True,True,True,True,48.0,101.0
56,pentafluorosulfanyl_benzamidine,-6.21,3.54,16.51,18.53,0.74,0.76,0.01,NC(=N)c1ccc(S(F)(F)(F)(F)F)cc1,246.2,3.63,49.87,2.0,2.0,1.0,1.0,0.0,0.47,15.0,8.0,1.0,0.0,48.86,3.99,0.0,-1.92,True,True,True,True,48.0,119.0
57,methoxycarbonyl_benzamidine,-6.23,3.59,15.57,26.1,0.97,0.93,0.13,NC(=N)c1ccc(C(=O)OC)cc1,178.19,0.76,76.17,2.0,2.0,3.0,1.0,0.11,0.4,13.0,4.0,1.0,0.0,48.8,3.8,0.0,-1.24,True,True,True,True,57.0,7.0
58,dimethylamino_benzamidine,-6.17,0.98,16.01,20.98,0.98,0.93,0.07,NC(=N)c1ccc(N(C)C)cc1,163.22,1.04,53.11,2.0,2.0,2.0,1.0,0.22,0.51,12.0,3.0,1.0,0.0,51.79,3.62,0.0,-1.09,True,True,True,True,57.0,13.0
59,acetyl_benzamidine,-6.24,3.35,15.58,26.16,0.98,0.93,0.14,NC(=N)c1ccc(C(=O)C)cc1,162.19,1.17,66.94,2.0,2.0,2.0,1.0,0.11,0.39,12.0,3.0,1.0,0.0,47.46,3.59,0.0,-1.08,True,True,True,True,57.0,23.0
60,mesyloxy_benzamidine,-6.16,1.3,16.07,20.29,0.97,0.93,0.06,NC(=N)c1ccc(OS(=O)(=O)C)cc1,214.25,0.31,93.24,3.0,2.0,4.0,1.0,0.12,0.43,14.0,6.0,1.0,0.0,52.93,3.99,0.0,-1.6,True,True,True,False,57.0,23.0
61,trihydroxy_benzamidine,-6.26,7.08,18.1,29.39,0.97,0.93,0.16,NC(=N)c1cc(O)c(O)c(O)c1,168.15,0.09,110.56,1.0,5.0,4.0,1.0,0.0,0.23,12.0,5.0,1.0,0.0,42.45,3.58,0.0,-1.14,True,True,True,False,57.0,31.0
62,chloro_hydroxy_benzamidine,-6.35,1.42,18.54,30.14,0.97,0.9,0.25,NC(=N)c1cc(Cl)c(O)cc1,170.6,1.33,70.1,1.0,3.0,2.0,1.0,0.0,0.44,11.0,4.0,1.0,0.0,44.13,3.52,0.0,-1.17,True,True,True,True,57.0,67.0
63,methyl_hydroxy_benzamidine,-6.31,2.37,18.19,31.38,0.97,0.9,0.21,NC(=N)c1cc(C)c(O)cc1,150.18,0.98,70.1,1.0,3.0,2.0,1.0,0.12,0.41,11.0,3.0,1.0,0.0,43.86,3.52,0.0,-0.96,True,True,True,True,57.0,69.0
64,hydroxy_benzamidine,-6.31,0.97,17.83,30.51,0.98,0.89,0.21,NC(=N)c1ccc(O)cc1,136.15,0.68,70.1,1.0,3.0,2.0,1.0,0.0,0.39,10.0,3.0,1.0,0.0,39.12,3.28,0.0,-0.82,True,True,True,True,57.0,72.0
65,acetoxy_benzamidine,-6.19,1.96,15.67,22.25,0.87,0.88,0.09,NC(=N)c1ccc(OC(=O)C)cc1,178.19,0.9,76.17,2.0,2.0,3.0,1.0,0.11,0.31,13.0,4.0,1.0,0.0,48.77,3.84,0.0,-1.24,True,True,True,True,57.0,77.0
66,dimethylaminoethyl_benzamidine,-6.22,4.68,17.2,22.19,0.89,0.85,0.12,NC(=N)c1ccc(CCN(C)C)cc1,191.28,1.07,53.11,4.0,2.0,2.0,1.0,0.36,0.55,14.0,3.0,1.0,0.0,59.72,4.01,0.0,-1.37,True,True,True,True,57.0,90.0
67,difluoromethoxy_benzamidine,-6.26,5.83,16.95,27.79,0.79,0.85,0.16,NC(=N)c1ccc(OC(F)F)cc1,186.16,1.57,59.1,3.0,2.0,2.0,1.0,0.12,0.56,13.0,5.0,1.0,0.0,44.09,3.82,0.0,-1.32,True,True,True,True,57.0,93.0
68,amino_benzamidine,-6.26,5.92,17.22,27.9,0.71,0.83,0.16,NC(=N)c1ccc(N)cc1,135.17,0.55,75.89,1.0,3.0,2.0,1.0,0.0,0.3,10.0,3.0,1.0,0.0,41.87,3.26,0.0,-0.81,True,True,True,True,57.0,102.0
69,sulfonamide3_benzamidine,-6.2,1.0,15.7,22.82,0.89,0.83,0.1,NC(=N)c1cc(S(=O)(=O)N)ccc1,199.24,-0.38,110.03,2.0,3.0,3.0,1.0,0.0,0.45,13.0,6.0,1.0,0.0,48.83,3.85,0.0,-1.45,True,True,True,False,57.0,103.0
70,isobutyl_benzamidine,-6.19,3.91,16.88,21.06,0.79,0.78,0.09,NC(=N)c1ccc(CC(C)C)cc1,176.26,2.17,49.87,3.0,2.0,1.0,1.0,0.36,0.54,13.0,2.0,1.0,0.0,56.0,3.82,0.0,-1.22,True,True,True,True,57.0,116.0
71,nitro_benzamidine,-6.17,3.89,16.62,26.62,0.97,0.94,0.17,NC(=N)c1ccc([N+](=O)[O-])cc1,165.15,0.88,93.01,2.0,2.0,3.0,1.0,0.0,0.29,12.0,5.0,1.0,0.0,44.11,3.65,0.0,-1.11,True,True,True,False,71.0,4.0
72,aminoethyl_benzamidine,-6.16,4.55,16.72,25.48,0.97,0.93,0.16,NC(=N)c1ccc(CCN)cc1,163.22,0.47,75.89,3.0,3.0,2.0,1.0,0.22,0.45,12.0,3.0,1.0,0.0,50.22,3.66,0.0,-1.09,True,True,True,True,71.0,9.0
73,trifluoroethyl_benzamidine,-6.14,4.65,17.38,22.97,0.97,0.93,0.14,NC(=N)c1ccc(CC(F)F)cc1,184.19,1.78,49.87,3.0,2.0,1.0,1.0,0.22,0.55,13.0,4.0,1.0,0.0,47.17,3.82,0.0,-1.3,True,True,True,True,71.0,9.0
74,aminomethyl_benzamidine,-6.12,4.45,15.69,30.06,0.98,0.93,0.12,NC(=N)c1ccc(CN)cc1,149.2,0.43,75.89,2.0,3.0,2.0,1.0,0.12,0.42,11.0,3.0,1.0,0.0,45.35,3.47,0.0,-0.95,True,True,True,True,71.0,11.0
75,hydroxyethyl_benzamidine,-6.16,5.15,17.59,24.02,0.97,0.93,0.16,NC(=N)c1ccc(CCO)cc1,164.21,0.51,70.1,3.0,3.0,2.0,1.0,0.22,0.45,12.0,3.0,1.0,0.0,48.25,3.67,0.0,-1.1,True,True,True,True,71.0,13.0
76,hydroxymethyl_benzamidine,-6.13,4.42,16.0,30.06,0.97,0.93,0.13,NC(=N)c1ccc(CO)cc1,150.18,0.46,70.1,2.0,3.0,2.0,1.0,0.12,0.42,11.0,3.0,1.0,0.0,43.38,3.48,0.0,-0.96,True,True,True,True,71.0,13.0
77,dihydroxy_benzamidine,-6.21,4.09,20.48,33.17,0.97,0.93,0.21,NC(=N)c1cc(O)cc(O)c1,152.15,0.38,90.33,1.0,4.0,3.0,1.0,0.0,0.35,11.0,4.0,1.0,0.0,40.79,3.43,0.0,-0.98,True,True,True,False,71.0,23.0
78,isopropenyl_benzamidine,-6.1,3.57,15.72,23.29,0.97,0.92,0.1,NC(=N)c1ccc(C(=C)C)cc1,160.22,2.0,49.87,2.0,2.0,1.0,1.0,0.1,0.5,12.0,2.0,1.0,0.0,52.17,3.59,0.0,-1.06,True,True,True,True,71.0,36.0
79,ibuprofen,-6.02,1.29,16.01,19.17,0.89,0.91,0.02,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.07,37.3,4.0,1.0,1.0,1.0,0.46,0.82,15.0,2.0,1.0,0.0,61.03,4.14,0.0,-1.52,True,True,True,True,71.0,59.0
